group,panel,cip_res,cro_res,nda_res,threshold_price,threshold_lower,threshold_upper,strategy
WSM,cip+cro+nda,0.1,0.15,0.05,41.445643220674505,-164.73571154389143,263.32055374810255,CIP+CRO+NDA
WSM,cip,0.3,0,0.05,-2.966133214586438,-215.83082337227813,196.04249025214196,CIP
WSM,cip+cro,0.3,0,0.05,-3.5077275216929023,-207.76959594114518,201.68157818607432,CIP+CRO
WSM,cip+cro+nda,0.3,0,0.05,-0.8768342808151983,-196.96445555769895,205.99946946307313,CIP+CRO+NDA
WSM,cip,0.3,0.025,0.05,3.8032099040293406,-187.45401904973053,201.27560805656347,CIP
WSM,cip+cro,0.3,0.025,0.05,3.301423256775318,-203.82864453502222,205.99868646375296,CIP+CRO
WSM,cip+cro+nda,0.3,0.025,0.05,9.386814321156841,-192.14430842672135,212.57652726361,CIP+CRO+NDA
WSM,cip,0.3,0.05,0.05,6.905361716055611,-193.02398751351228,212.35975748919228,CIP
WSM,cip+cro,0.3,0.05,0.05,14.980071270544348,-193.5157109095128,216.3531816936712,CIP+CRO
WSM,cip+cro+nda,0.3,0.05,0.05,17.52684067828172,-174.41837532168958,206.04325368961753,CIP+CRO+NDA
WSM,cip,0.3,0.075,0.05,16.783458091996746,-194.2551762597633,225.41297195443283,CIP
WSM,cip+cro,0.3,0.075,0.05,15.236158975382942,-192.97310406359642,225.88560552600782,CIP+CRO
WSM,cip+cro+nda,0.3,0.075,0.05,25.023540005696336,-178.4421405140349,242.74631242209557,CIP+CRO+NDA
WSM,cip,0.3,0.1,0.05,14.147997228428979,-195.63257311509918,210.99370463446434,CIP
WSM,cip+cro,0.3,0.1,0.05,30.44691466701883,-150.5962804946195,221.50821742835592,CIP+CRO
WSM,cip+cro+nda,0.3,0.1,0.05,26.162558284530327,-183.20955271751768,237.30207454082148,CIP+CRO+NDA
WSM,cip,0.3,0.125,0.05,30.96056524594305,-168.22131104385176,236.8228929247976,CIP
WSM,cip+cro,0.3,0.125,0.05,33.70090840643337,-154.3815188102214,229.4478570186459,CIP+CRO
WSM,cip+cro+nda,0.3,0.125,0.05,31.097137523417395,-176.69753567867284,239.1973620813017,CIP+CRO+NDA
WSM,cip,0.3,0.15,0.05,30.357848784373306,-178.81863282273235,242.00085672735943,CIP
WSM,cip+cro,0.3,0.15,0.05,44.063596454410806,-158.77285315057398,242.1349684456004,CIP+CRO
WSM,cip+cro+nda,0.3,0.15,0.05,40.73144948712688,-165.00425859787882,257.8611104610295,CIP+CRO+NDA
WSM,cip,0.5,0,0.05,3.084977944118648,-184.72449761687466,214.6355575376159,CIP
WSM,cip+cro,0.5,0,0.05,-0.3467917841307952,-188.6743325981499,188.77086948874674,CIP+CRO
WSM,cip+cro+nda,0.5,0,0.05,-3.2671233304401572,-217.0363305099618,202.71604762727787,CIP+CRO+NDA
WSM,cip,0.5,0.025,0.05,1.8880282476863273,-208.38388447884188,205.26835149168735,CIP
WSM,cip+cro,0.5,0.025,0.05,5.329559291389507,-185.9347883757574,208.7233446516073,CIP+CRO
WSM,cip+cro+nda,0.5,0.025,0.05,12.813386194857085,-187.86004411207972,236.84937998509943,CIP+CRO+NDA
WSM,cip,0.5,0.05,0.05,14.136456199221582,-187.13181251611397,236.65453928188526,CIP
WSM,cip+cro,0.5,0.05,0.05,13.183342820640481,-180.74532780135877,213.46398539692117,CIP+CRO
WSM,cip+cro+nda,0.5,0.05,0.05,13.680820392284657,-196.07661515818333,223.72391804154358,CIP+CRO+NDA
WSM,cip,0.5,0.075,0.05,13.858435096811201,-198.78246097817123,245.74838729507104,CIP
WSM,cip+cro,0.5,0.075,0.05,21.235592628895493,-183.60334765659366,237.055226917237,CIP+CRO
WSM,cip+cro+nda,0.5,0.075,0.05,24.707330777987153,-166.87340525127857,236.7173523006281,CIP+CRO+NDA
WSM,cip,0.5,0.1,0.05,14.640183639182036,-218.77611274298533,236.18577483181718,CIP
WSM,cip+cro,0.5,0.1,0.05,26.771302476020118,-190.9550313109991,229.31340430625957,CIP+CRO
WSM,cip+cro+nda,0.5,0.1,0.05,25.71378305160769,-170.55830692151773,235.45299761596866,CIP+CRO+NDA
WSM,cip,0.5,0.125,0.05,22.419799478826775,-191.45857272598215,232.11757874870824,CIP
WSM,cip+cro,0.5,0.125,0.05,29.27949034669631,-174.06316235915997,249.16946125223365,CIP+CRO
WSM,cip+cro+nda,0.5,0.125,0.05,33.34012628099954,-156.72735394153594,233.7759309705118,CIP+CRO+NDA
WSM,cip,0.5,0.15,0.05,22.70772450282877,-173.33086938372526,246.91476588299793,CIP
WSM,cip+cro,0.5,0.15,0.05,32.60420690797874,-177.0542515404183,232.03039399040514,CIP+CRO
WSM,cip+cro+nda,0.5,0.15,0.05,36.467789582309784,-183.8065690357525,259.63048370714296,CIP+CRO+NDA
WSM,cip,0.7,0,0.05,-4.076438938896169,-212.43994981991406,216.24813696627487,CIP
WSM,cip+cro,0.7,0,0.05,-0.6220564888910529,-170.98172886954433,220.3786032555249,CIP+CRO
WSM,cip+cro+nda,0.7,0,0.05,-2.901834559374642,-200.3694101269948,202.0336405948105,CIP+CRO+NDA
WSM,cip,0.7,0.025,0.05,0.8934887805671713,-190.47151612217738,215.78975115195755,CIP
WSM,cip+cro,0.7,0.025,0.05,1.3075993096521474,-192.39892903674652,232.15464962397115,CIP+CRO
WSM,cip+cro+nda,0.7,0.025,0.05,3.029989391965664,-201.32758596717565,217.2075294300247,CIP+CRO+NDA
WSM,cip,0.7,0.05,0.05,7.66050579198701,-208.32164094730382,220.15656621983646,CIP
WSM,cip+cro,0.7,0.05,0.05,12.772866408183448,-194.31060232449326,226.53375009157585,CIP+CRO
WSM,cip+cro+nda,0.7,0.05,0.05,12.5656892760487,-189.58153624754695,220.94361362217677,CIP+CRO+NDA
WSM,cip,0.7,0.075,0.05,7.10918583984289,-205.7921141043442,218.0189682625664,CIP
WSM,cip+cro,0.7,0.075,0.05,12.738755831169996,-178.59359701272976,218.00336481165766,CIP+CRO
WSM,cip+cro+nda,0.7,0.075,0.05,14.376255031261422,-192.8999545792564,233.39755706081021,CIP+CRO+NDA
WSM,cip,0.7,0.1,0.05,9.68190009630292,-179.83733358623095,212.21538261405254,CIP
WSM,cip+cro,0.7,0.1,0.05,26.929931609260944,-159.0647470607455,253.90801061366568,CIP+CRO
WSM,cip+cro+nda,0.7,0.1,0.05,27.144527359287355,-172.27913225643897,241.76237132235016,CIP+CRO+NDA
WSM,cip,0.7,0.125,0.05,9.992037284633607,-197.39568276312812,210.96845736220993,CIP
WSM,cip+cro,0.7,0.125,0.05,29.56232636371236,-172.18624990885212,237.1262686956002,CIP+CRO
WSM,cip+cro+nda,0.7,0.125,0.05,29.22452271445515,-184.89463461095292,215.13108623145456,CIP+CRO+NDA
WSM,cip,0.7,0.15,0.05,2.9089899184049517,-211.69260890929567,222.36695110966667,CIP
WSM,cip+cro,0.7,0.15,0.05,26.136446734181067,-174.86709548650157,240.72881485454667,CIP+CRO
